Week Ending,Show,Theatre,Weekly Gross,Seats Sold,Performances
1985-06-09,42nd Street,St. James Theatre,282368.0,9281,8
1985-06-09,A Chorus Line,Sam S. Shubert Theatre,222584.0,8167,8
1985-06-09,Aren't We All?,Brooks Atkinson Theatre,249272.0,7386,8
1985-06-09,Arms and the Man,Circle in the Square Theatre,95688.0,4586,8
1985-06-09,As Is,Lyceum Theatre,61059.0,2938,8
1985-06-09,Big River,Eugene O'Neill Theatre,255386.0,7992,8
1985-06-09,Biloxi Blues,Neil Simon Theatre,306839.0,10831,8
1985-06-09,Brighton Beach Memoirs,46th Street Theatre,107392.0,5672,8
1985-06-09,Cats,Winter Garden Theatre,461880.0,12043,8
1985-06-09,Doubles,Ritz Theatre,47452.0,2709,8
1985-06-09,Grind,Mark Hellinger Theatre,189253.0,5801,8
1985-06-09,La Cage aux Folles,Palace Theatre,408860.0,11921,8
1985-06-09,Leader of the Pack,Ambassador Theatre,122005.0,5210,8
1985-06-09,Oh! Calcutta!,Edison Theatre,32330.0,2273,9
1985-06-09,Singin' in the Rain,Gershwin Theatre,243424.0,10120,8
1985-06-09,Sunday in the Park with George,Booth Theatre,153364.0,4880,8
1985-06-09,The King and I,Broadway Theatre,407169.0,9969,8
1985-06-09,The Odd Couple,Broadhurst Theatre,91056.0,3768,8
1985-06-09,The Tap Dance Kid,Minskoff Theatre,178556.0,6667,8
1985-06-16,42nd Street,St. James Theatre,301417.0,10231,8
1985-06-16,A Chorus Line,Sam S. Shubert Theatre,219204.0,7918,8
1985-06-16,Aren't We All?,Brooks Atkinson Theatre,203994.0,6291,8
1985-06-16,Arms and the Man,Circle in the Square Theatre,94331.0,4669,8
1985-06-16,As Is,Lyceum Theatre,66373.0,3288,8
1985-06-16,Big River,Eugene O'Neill Theatre,264247.0,7952,8
1985-06-16,Biloxi Blues,Neil Simon Theatre,310012.0,10939,8
1985-06-16,Brighton Beach Memoirs,46th Street Theatre,107456.0,6516,8
1985-06-16,Cats,Winter Garden Theatre,458353.0,12029,8
1985-06-16,Doubles,Ritz Theatre,55777.0,3126,8
1985-06-16,Grind,Mark Hellinger Theatre,146812.0,4924,8
1985-06-16,La Cage aux Folles,Palace Theatre,413116.0,12007,8
1985-06-16,Leader of the Pack,Ambassador Theatre,123752.0,4996,8
1985-06-16,Oh! Calcutta!,Edison Theatre,33890.0,2383,8
1985-06-16,Singin' in the Rain,Gershwin Theatre,235688.0,8727,8
1985-06-16,Sunday in the Park with George,Booth Theatre,156980.0,5143,8
1985-06-16,The King and I,Broadway Theatre,177896.0,4644,4
1985-06-16,The Odd Couple,Broadhurst Theatre,142402.0,5505,8
1985-06-16,The Tap Dance Kid,Minskoff Theatre,174042.0,6367,8
1985-06-23,42nd Street,St. James Theatre,296438.0,9797,8
1985-06-23,A Chorus Line,Sam S. Shubert Theatre,228426.0,8096,8
1985-06-23,Aren't We All?,Brooks Atkinson Theatre,207292.0,6376,8
1985-06-23,Arms and the Man,Circle in the Square Theatre,92265.0,4582,8
1985-06-23,As Is,Lyceum Theatre,70747.0,3749,8
1985-06-23,Big River,Eugene O'Neill Theatre,273593.0,8071,8
1985-06-23,Biloxi Blues,Neil Simon Theatre,311884.0,10983,8
1985-06-23,Brighton Beach Memoirs,46th Street Theatre,121099.0,6391,8
1985-06-23,Cats,Winter Garden Theatre,463040.0,12036,8
1985-06-23,Doubles,Ritz Theatre,66309.0,3519,8
1985-06-23,La Cage aux Folles,Palace Theatre,426593.0,12128,8
1985-06-23,Leader of the Pack,Ambassador Theatre,122722.0,5090,8
1985-06-23,Oh! Calcutta!,Edison Theatre,35108.0,2467,9
1985-06-23,Singin' in the Rain,Gershwin Theatre,140952.0,4816,6
1985-06-23,Sunday in the Park with George,Booth Theatre,153953.0,5109,8
1985-06-23,The King and I,Broadway Theatre,318174.0,8025,5
1985-06-23,The Odd Couple,Broadhurst Theatre,184435.0,7105,8
1985-06-23,The Tap Dance Kid,Minskoff Theatre,177212.0,6585,8
1985-06-30,42nd Street,St. James Theatre,292841.0,9957,8
1985-06-30,A Chorus Line,Sam S. Shubert Theatre,230472.0,7841,8
1985-06-30,Aren't We All?,Brooks Atkinson Theatre,210620.0,6632,8
1985-06-30,Arms and the Man,Circle in the Square Theatre,94546.0,4737,8
1985-06-30,As Is,Lyceum Theatre,79324.0,4045,8
1985-06-30,Big River,Eugene O'Neill Theatre,292678.0,8205,8
1985-06-30,Biloxi Blues,Neil Simon Theatre,308513.0,11043,8
1985-06-30,Brighton Beach Memoirs,46th Street Theatre,123915.0,6421,8
1985-06-30,Cats,Winter Garden Theatre,465011.0,11991,8
1985-06-30,Doubles,Ritz Theatre,69184.0,3660,8
1985-06-30,La Cage aux Folles,Palace Theatre,414452.0,12058,8
1985-06-30,Leader of the Pack,Ambassador Theatre,115667.0,4594,8
1985-06-30,Oh! Calcutta!,Edison Theatre,33246.0,2338,9
1985-06-30,Singin' in the Rain,Gershwin Theatre,158132.0,5566,8
1985-06-30,Sunday in the Park with George,Booth Theatre,147551.0,5965,8
1985-06-30,The King and I,Broadway Theatre,605546.0,13833,8
1985-06-30,The Odd Couple,Broadhurst Theatre,168628.0,6525,8
1985-06-30,The Tap Dance Kid,Minskoff Theatre,176316.0,6421,8
1985-07-07,42nd Street,St. James Theatre,235685.0,8288,8
1985-07-07,A Chorus Line,Sam S. Shubert Theatre,183355.0,6184,8
1985-07-07,Aren't We All?,Brooks Atkinson Theatre,177952.0,5953,8
1985-07-07,Arms and the Man,Circle in the Square Theatre,79715.0,3910,8
1985-07-07,As Is,Lyceum Theatre,75075.0,4210,8
1985-07-07,Big River,Eugene O'Neill Theatre,267335.0,7874,8
1985-07-07,Biloxi Blues,Neil Simon Theatre,276542.0,8775,8
1985-07-07,Brighton Beach Memoirs,46th Street Theatre,95933.0,5266,8
1985-07-07,Cats,Winter Garden Theatre,471456.0,12069,8
1985-07-07,Doubles,Ritz Theatre,60204.0,3615,8
1985-07-07,La Cage aux Folles,Palace Theatre,392549.0,11500,8
1985-07-07,Leader of the Pack,Ambassador Theatre,81304.0,4123,8
1985-07-07,Oh! Calcutta!,Edison Theatre,32298.0,2269,9
1985-07-07,Singin' in the Rain,Gershwin Theatre,109538.0,3580,8
1985-07-07,Sunday in the Park with George,Booth Theatre,126401.0,5248,8
1985-07-07,The Odd Couple,Broadhurst Theatre,141575.0,6386,8
1985-07-07,The Tap Dance Kid,Minskoff Theatre,122135.0,4534,8
1985-07-14,42nd Street,St. James Theatre,252046.0,8606,8
1985-07-14,A Chorus Line,Sam S. Shubert Theatre,192005.0,6552,8
1985-07-14,Aren't We All?,Brooks Atkinson Theatre,213901.0,6732,8
1985-07-14,Arms and the Man,Circle in the Square Theatre,61130.0,2949,8
