State,Gender,Year,Name,Count
AK,M,1923,Charles,7
AL,F,1923,Catherine,189
AL,F,1923,Carrie,176
AL,F,1923,Christine,122
AL,F,1923,Carolyn,71
AL,F,1923,Cleo,42
AL,F,1923,Callie,41
AL,F,1923,Claudia,31
AL,F,1923,Charlotte,27
AL,F,1923,Connie,16
AL,F,1923,Charlie,15
AL,F,1923,Carol,14
AL,F,1923,Constance,9
AL,F,1923,Caroline,8
AL,F,1923,Claudie,8
AL,F,1923,Clemmie,8
AL,F,1923,Cecil,7
AL,F,1923,Claire,7
AL,F,1923,Celestine,6
AL,F,1923,Clary,6
AL,F,1923,Clyde,6
AL,F,1923,Cynthia,6
AL,F,1923,Colleen,5
AL,M,1923,Charles,609
AL,M,1923,Charlie,244
AL,M,1923,Clarence,201
AL,M,1923,Carl,128
AL,M,1923,Calvin,112
AL,M,1923,Cecil,107
AL,M,1923,Curtis,102
AL,M,1923,Clyde,100
AL,M,1923,Clifford,71
AL,M,1923,Claude,67
AL,M,1923,Chester,49
AL,M,1923,Clayton,24
AL,M,1923,Claudie,14
AL,M,1923,Charley,13
AL,M,1923,Cornelius,13
AL,M,1923,Clark,12
AL,M,1923,Cleo,12
AL,M,1923,Carlton,9
AL,M,1923,Connie,8
AL,M,1923,Carlos,7
AL,M,1923,Carter,7
AL,M,1923,Christopher,7
AL,M,1923,Cary,5
AL,M,1923,Cody,5
AR,F,1923,Christine,70
AR,F,1923,Catherine,68
AR,F,1923,Carrie,37
AR,F,1923,Cleo,31
AR,F,1923,Carolyn,25
AR,F,1923,Claudia,21
AR,F,1923,Charlotte,19
AR,F,1923,Connie,17
AR,F,1923,Charlie,14
AR,F,1923,Carmen,13
AR,F,1923,Callie,9
AR,F,1923,Caroline,9
AR,F,1923,Claudie,8
AR,F,1923,Cecil,7
AR,F,1923,Colleen,6
AR,F,1923,Crystal,6
AR,F,1923,Carol,5
AR,F,1923,Claire,5
AR,F,1923,Clemmie,5
AR,F,1923,Constance,5
AR,F,1923,Cynthia,5
AR,M,1923,Charles,447
AR,M,1923,Carl,172
AR,M,1923,Clarence,136
AR,M,1923,Cecil,113
AR,M,1923,Charlie,97
AR,M,1923,Clyde,93
AR,M,1923,Calvin,83
AR,M,1923,Chester,75
AR,M,1923,Curtis,61
AR,M,1923,Claude,44
AR,M,1923,Clifford,41
AR,M,1923,Charley,40
AR,M,1923,Cleo,29
AR,M,1923,Carroll,21
AR,M,1923,Carlton,11
AR,M,1923,Cornelius,11
AR,M,1923,Carlos,10
AR,M,1923,Clayton,10
AR,M,1923,Carrol,9
AR,M,1923,Carson,5
AR,M,1923,Clark,5
AZ,F,1923,Carmen,74
AZ,F,1923,Consuelo,24
AZ,F,1923,Connie,15
AZ,F,1923,Cruz,12
AZ,F,1923,Caroline,9
AZ,F,1923,Charlotte,9
AZ,F,1923,Concepcion,9
AZ,F,1923,Catalina,8
AZ,F,1923,Catherine,8
AZ,F,1923,Cecilia,5
AZ,M,1923,Charles,51
AZ,M,1923,Carlos,23
AZ,M,1923,Carl,22
AZ,M,1923,Clarence,16
AZ,M,1923,Clyde,11
AZ,M,1923,Charlie,8
AZ,M,1923,Chester,8
AZ,M,1923,Calvin,7
AZ,M,1923,Charley,6
AZ,M,1923,Cruz,5
CA,F,1923,Carmen,196
CA,F,1923,Catherine,172
CA,F,1923,Charlotte,137
CA,F,1923,Carol,94
CA,F,1923,Consuelo,94
CA,F,1923,Constance,73
CA,F,1923,Carolyn,69
CA,F,1923,Claire,58
CA,F,1923,Connie,52
CA,F,1923,Cecilia,37
CA,F,1923,Christine,32
CA,F,1923,Colleen,31
CA,F,1923,Caroline,27
CA,F,1923,Carole,20
CA,F,1923,Concepcion,16
CA,F,1923,Carrie,15
CA,F,1923,Carolina,14
CA,F,1923,Catalina,14
CA,F,1923,Christina,14
CA,F,1923,Clare,14
CA,F,1923,Camille,13
CA,F,1923,Carmel,13
CA,F,1923,Cleo,13
CA,F,1923,Cynthia,12
CA,F,1923,Claudia,11
CA,F,1923,Cruz,9
