State,Favorite Cereal
Colorado,Life
New York,Oreo O's
Connecticut,Life
Nebraska,Life
Oregon,Life
Montana,Count Chocula
California,Life
Georgia,Trix
Wyoming,All Bran
Maryland,Honeycomb
South Carolina,Pops
Hawaii,Oreo O's
South Dakota,Raisin Bran
New Hampshire,Kix
Indiana,Oreo O's
Virginia,Trix
Kansas,Life
Ohio,Oreo O's
Missouri,Life
Washington DC,Life
Oklahoma,Trix
Delaware,Trix
New Jersey,Oreo O's
Pennsylvania,Oreo O's
Texas,Oreo O's
Nevada,Oreo O's
New Mexico,Special K
Tennessee,Honeycomb
Alaska,Oreo O's
Alabama,Honeycomb
Florida,Oreo O's
Massachusetts,Special K
Iowa,Kix
Kentucky,Trix
Arizona,Oreo O's
North Dakota,Kashi
Maine,Special K
Washington,Life
Minnesota,Life
West Virginia,Honeycomb
Michigan,Oreo O's
North Carolina,Oreo O's
Wisconsin,Trix
Arkansas,King Vitamin
Rhode Island,Honeycomb
Idaho,Captain Crunch
Utah,Life
Louisiana,King Vitamin
Vermont,Kix
Mississippi,Special K
Illinois,Oreo O's
