,Name,Salary,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
2,Russell Westbrook,47080179,34,LAL/LAC,73,5.8,7.5,1.0,0.5,3.5,15.9
349,Tre Jones,1782621,23,SAS,68,3.6,6.6,1.3,0.1,1.6,12.9
220,Justise Winslow,4097561,26,POR,29,5.0,3.4,1.0,0.4,1.5,6.8
251,Kevin Knox,3000000,23,DET/POR,63,2.8,0.5,0.4,0.2,0.8,6.6
202,Ty Jerome,4728948,25,GSW,45,1.7,3.0,0.5,0.1,0.7,6.9
296,Andrew Nembhard,2244111,23,IND,75,2.7,4.5,0.9,0.2,1.7,9.5
354,Haywood Highsmith,1752638,26,MIA,54,3.5,0.8,0.7,0.3,0.8,4.4
385,Jabari Walker,1017781,20,POR,56,2.3,0.6,0.2,0.2,0.5,3.9
16,Tobias Harris,37633050,30,PHI,74,5.7,2.5,0.9,0.5,1.2,14.7
183,Pat Connaughton,5728393,30,MIL,61,4.6,1.3,0.6,0.2,0.5,7.6
24,Karl-Anthony Towns,33833400,27,MIN,29,8.1,4.8,0.7,0.6,3.0,20.8
406,Micah Potter,508891,24,UTA,7,2.3,0.6,0.1,0.0,0.3,3.4
397,PJ Dozier,784654,26,SAC,16,0.9,0.6,0.4,0.1,0.3,1.4
50,Mike Conley,22680000,35,MIN/UTA,67,2.7,6.7,1.1,0.2,1.5,11.9
59,Mikal Bridges,20100000,26,BRK/PHO,83,4.4,3.3,1.1,0.7,1.5,20.1
420,Buddy Boeheim,508891,23,DET,10,0.6,0.4,0.2,0.0,0.0,1.6
159,Taurean Prince,7100000,28,MIN,54,2.4,1.6,0.5,0.3,1.3,9.1
98,Josh Hart,12960000,27,NYK/POR,76,7.8,3.8,1.2,0.3,1.5,9.8
54,Fred VanVleet,21250000,28,TOR,69,4.1,7.2,1.8,0.6,2.0,19.3
291,Damian Jones,2298385,27,LAL/UTA,41,3.0,0.4,0.2,0.5,0.6,3.5
395,Moses Brown,824041,23,BRK/LAC,36,3.9,0.1,0.1,0.4,0.4,4.3
358,Jared Butler,1674655,22,OKC,6,0.7,1.3,0.8,0.0,0.8,6.2
40,Gordon Hayward,30075000,32,CHO,50,4.3,4.1,0.8,0.2,2.0,14.7
288,Lindy Waters III,2316876,25,OKC,41,1.8,0.7,0.3,0.3,0.2,5.2
99,Dorian Finney-Smith,12939848,29,BRK/DAL,66,4.8,1.5,0.8,0.5,0.9,8.3
201,Johnny Davis,4810320,20,WAS,28,2.3,1.0,0.4,0.3,0.6,5.8
37,Jayson Tatum,30351780,24,BOS,74,8.8,4.6,1.1,0.7,2.9,30.1
221,Dylan Windler,4037277,26,CLE,3,0.0,0.3,0.3,0.0,0.3,1.7
416,Mamadi Diakite,508891,26,CLE,22,1.4,0.4,0.2,0.4,0.5,2.6
190,Franz Wagner,5258280,21,ORL,80,4.1,3.5,1.0,0.2,2.1,18.6
465,RaiQuan Gray,5849,23,BRK,1,9.0,7.0,0.0,1.0,4.0,16.0
139,Kyle Anderson,8780488,29,MIN,69,5.3,4.9,1.1,0.9,1.5,9.4
113,Bobby Portis,10843350,27,MIL,70,9.6,1.5,0.4,0.2,1.2,14.1
449,Xavier Moon,116986,28,LAC,4,0.8,1.3,0.0,0.0,0.3,1.8
34,Shai Gilgeous-Alexander,30913750,24,OKC,68,4.8,5.5,1.6,1.0,2.8,31.4
461,Jay Scrubb,49719,22,ORL,2,3.0,0.5,1.0,0.0,1.5,6.5
289,Immanuel Quickley,2316240,23,NYK,81,4.2,3.4,1.0,0.2,1.2,14.9
302,Jaden McDaniels,2161440,22,MIN,79,3.9,1.9,0.9,1.0,1.4,12.1
223,George Hill,4000000,36,MIL/IND,46,1.8,2.4,0.6,0.1,0.7,5.0
97,Kyle Kuzma,13000000,27,WAS,64,7.2,3.7,0.6,0.5,3.0,21.2
308,Luke Kornet,2133278,27,BOS,69,2.9,0.8,0.2,0.7,0.4,3.8
316,Jeremiah Robinson-Earl,2000000,22,OKC,43,4.2,1.0,0.6,0.3,0.4,6.8
400,Anthony Lamb,694878,25,GSW,62,3.5,1.5,0.5,0.3,0.9,6.7
307,Damion Lee,2133278,30,PHO,74,3.0,1.3,0.4,0.1,1.1,8.2
403,Trevor Keels,520589,19,NYK,3,0.7,0.0,0.0,0.0,0.0,1.0
281,Usman Garuba,2471160,20,HOU,75,4.1,0.9,0.6,0.4,0.6,3.0
208,Devin Vassell,4437000,22,SAS,38,3.9,3.6,1.1,0.4,1.5,18.5
421,Jack White,508891,25,DEN,17,1.0,0.2,0.2,0.1,0.1,1.2
350,Paul Reed,1782621,23,PHI,69,3.8,0.4,0.7,0.7,0.7,4.2
3,LeBron James,44474988,38,LAL,55,8.3,6.8,0.9,0.6,3.2,28.9
82,Malik Beasley,15558035,26,LAL/UTA,81,3.5,1.5,0.8,0.1,1.1,12.7
9,Damian Lillard,42492492,32,POR,58,4.8,7.3,0.9,0.3,3.3,32.2
456,Xavier Sneed,102910,25,CHO,4,1.3,1.3,0.0,0.3,0.8,4.3
238,Georges Niang,3465000,29,PHI,78,2.4,1.0,0.4,0.2,0.7,8.2
23,Jrue Holiday,34319520,32,MIL,67,5.1,7.4,1.2,0.4,2.9,19.3
197,Nickeil Alexander-Walker,5009633,24,MIN/UTA,59,1.7,1.8,0.5,0.4,0.9,6.2
410,Dominick Barlow,508891,19,SAS,28,3.6,0.9,0.4,0.7,0.5,3.9
339,Wenyen Gabriel,1878720,25,LAL,68,4.2,0.5,0.4,0.5,0.7,5.5
268,Jordan Nwora,2800000,24,MIL/IND,62,3.7,1.4,0.4,0.2,1.1,8.7
329,Jaylen Nowell,1930681,23,MIN,65,2.6,2.0,0.6,0.1,1.0,10.8
247,Sterling Brown,3122602,27,LAL,4,2.0,0.5,0.8,0.0,0.0,0.0
