Name,Salary,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Stephen Curry,48070014,34,GSW,56,6.1,6.3,0.9,0.4,3.2,29.4
John Wall,47345760,32,LAC,34,2.7,5.2,0.8,0.4,2.4,11.4
Russell Westbrook,47080179,34,LAL/LAC,73,5.8,7.5,1.0,0.5,3.5,15.9
LeBron James,44474988,38,LAL,55,8.3,6.8,0.9,0.6,3.2,28.9
Kevin Durant,44119845,34,BRK/PHO,47,6.7,5.0,0.7,1.4,3.3,29.1
Bradley Beal,43279250,29,WAS,50,3.9,5.4,0.9,0.7,2.9,23.2
Kawhi Leonard,42492492,31,LAC,52,6.5,3.9,1.4,0.5,1.7,23.8
Paul George,42492492,32,LAC,56,6.1,5.1,1.5,0.4,3.1,23.8
Giannis Antetokounmpo,42492492,28,MIL,63,11.8,5.7,0.8,0.8,3.9,31.1
Damian Lillard,42492492,32,POR,58,4.8,7.3,0.9,0.3,3.3,32.2
Klay Thompson,40600080,32,GSW,69,4.1,2.4,0.7,0.4,1.8,21.9
Kyrie Irving,38917057,30,BRK/DAL,60,5.1,5.5,1.1,0.8,2.1,27.1
Rudy Gobert,38172414,30,MIN,70,11.6,1.2,0.8,1.4,1.7,13.4
Khris Middleton,37984276,31,MIL,33,4.2,4.9,0.7,0.2,2.2,15.1
Anthony Davis,37980720,29,LAL,56,12.5,2.6,1.1,2.0,2.2,25.9
Jimmy Butler,37653300,33,MIA,64,5.9,5.3,1.8,0.3,1.6,22.9
Tobias Harris,37633050,30,PHI,74,5.7,2.5,0.9,0.5,1.2,14.7
Kemba Walker,37281261,32,DAL,9,1.8,2.1,0.2,0.2,0.4,8.0
Trae Young,37096500,24,ATL,73,3.0,10.2,1.1,0.1,4.1,26.2
Zach LaVine,37096500,27,CHI,77,4.5,4.2,0.9,0.2,2.5,24.8
Ben Simmons,35448672,26,BRK,42,6.3,6.1,1.3,0.6,2.3,6.9
Pascal Siakam,35448672,28,TOR,71,7.8,5.8,0.9,0.5,2.4,24.2
Myles Turner,35096500,26,IND,62,7.5,1.4,0.6,2.3,1.7,18.0
Jrue Holiday,34319520,32,MIL,67,5.1,7.4,1.2,0.4,2.9,19.3
Karl-Anthony Towns,33833400,27,MIN,29,8.1,4.8,0.7,0.6,3.0,20.8
Devin Booker,33833400,26,PHO,53,4.5,5.5,1.0,0.3,2.7,27.8
Andrew Wiggins,33616770,27,GSW,37,5.0,2.3,1.2,0.8,1.3,17.1
Joel Embiid,33616770,28,PHI,66,10.2,4.2,1.0,1.7,3.4,33.1
CJ McCollum,33333333,31,NOP,75,4.4,5.7,0.9,0.5,2.4,20.9
James Harden,33000000,33,PHI,58,6.1,10.7,1.2,0.5,3.4,21.0
Jamal Murray,31650600,25,DEN,65,4.0,6.2,1.0,0.2,2.2,20.0
Brandon Ingram,31650600,25,NOP,45,5.5,5.8,0.7,0.4,3.3,24.7
D'Angelo Russell,31377750,26,LAL/MIN,71,3.0,6.2,1.0,0.4,2.6,17.8
Donovan Mitchell,30913750,26,CLE,68,4.3,4.4,1.5,0.4,2.6,28.3
Shai Gilgeous-Alexander,30913750,24,OKC,68,4.8,5.5,1.6,1.0,2.8,31.4
Deandre Ayton,30913750,24,PHO,67,10.0,1.7,0.6,0.8,1.8,18.0
Kevin Love,30556968,34,CLE/MIA,62,6.4,1.9,0.3,0.2,1.1,8.2
Jayson Tatum,30351780,24,BOS,74,8.8,4.6,1.1,0.7,2.9,30.1
Bam Adebayo,30351780,25,MIA,75,9.2,3.2,1.2,0.8,2.5,20.4
De'Aaron Fox,30351780,25,SAC,73,4.2,6.1,1.1,0.3,2.5,25.0
Gordon Hayward,30075000,32,CHO,50,4.3,4.1,0.8,0.2,2.0,14.7
Jaylen Brown,29776785,26,BOS,67,6.9,3.5,1.1,0.4,2.9,26.6
Chris Paul,28400000,37,PHO,59,4.3,8.9,1.5,0.4,1.9,13.9
Kyle Lowry,28333334,36,MIA,55,4.1,5.1,1.0,0.4,1.9,11.2
Jalen Brunson,27733332,26,NYK,68,3.5,6.2,0.9,0.2,2.1,24.0
DeMar DeRozan,27300000,33,CHI,74,4.6,5.1,1.1,0.5,2.1,24.5
Al Horford,26500000,36,BOS,63,6.2,3.0,0.5,1.0,0.6,9.8
Draymond Green,25806468,32,GSW,73,7.2,6.8,1.0,0.8,2.8,8.5
Julius Randle,23760000,28,NYK,77,10.0,4.1,0.6,0.3,2.8,25.1
John Collins,23500000,25,ATL,71,6.5,1.2,0.6,1.0,1.1,13.1
Mike Conley,22680000,35,MIN/UTA,67,2.7,6.7,1.1,0.2,1.5,11.9
Malcolm Brogdon,22600000,30,BOS,67,4.2,3.7,0.7,0.3,1.5,14.9
Anfernee Simons,22321429,23,POR,62,2.6,4.1,0.7,0.2,2.1,21.1
Terry Rozier,21486316,28,CHO,63,4.1,5.1,1.2,0.3,2.1,21.1
Fred VanVleet,21250000,28,TOR,69,4.1,7.2,1.8,0.6,2.0,19.3
Buddy Hield,21177750,30,IND,80,5.0,2.8,1.2,0.3,1.7,16.8
Domantas Sabonis,21100000,26,SAC,79,12.3,7.3,0.8,0.5,2.9,19.1
Jerami Grant,20955000,28,POR,63,4.5,2.4,0.8,0.8,1.8,20.5
Aaron Gordon,20690909,27,DEN,68,6.6,3.0,0.8,0.8,1.4,16.3
Mikal Bridges,20100000,26,BRK/PHO,83,4.4,3.3,1.1,0.7,1.5,20.1
