app,mode,destination,source,price,distance
Uber,Black SUV,Beacon Hill,Northeastern University,31.5,2.61
Uber,Black,North Station,Haymarket Square,15.0,0.49
Uber,Black,Northeastern University,Back Bay,16.0,1.22
Lyft,Lux Black XL,Boston University,Beacon Hill,32.5,2.26
Uber,UberXL,Theatre District,Northeastern University,14.0,1.91
Lyft,Lyft XL,Fenway,West End,16.5,2.9
Uber,WAV,Haymarket Square,Beacon Hill,9.5,1.35
Lyft,Lux Black,North Station,Boston University,27.5,3.48
Uber,WAV,North End,Financial District,8.5,1.21
Uber,Black SUV,Back Bay,Boston University,26.5,1.56
Uber,Black SUV,Boston University,Beacon Hill,32.0,2.27
Uber,Black,South Station,North Station,18.0,2.17
Uber,UberPool,Financial District,Northeastern University,11.0,4.58
Uber,UberXL,Beacon Hill,Fenway,18.5,2.96
Uber,Black,Northeastern University,West End,27.0,3.15
Uber,UberX,Haymarket Square,West End,8.5,0.72
Uber,UberXL,Financial District,Boston University,23.0,4.74
Uber,WAV,Northeastern University,North Station,11.5,3.3
Uber,Black SUV,Beacon Hill,North End,27.5,1.46
Lyft,Lux,Beacon Hill,Boston University,19.5,2.65
Uber,WAV,North Station,North End,7.5,0.92
Uber,UberX,North End,North Station,7.0,0.94
Uber,UberPool,North End,Theatre District,10.0,1.57
Uber,Black,South Station,Back Bay,25.0,3.45
Lyft,Lux Black XL,West End,North End,27.5,1.26
Uber,WAV,North Station,Fenway,11.5,3.07
Lyft,Shared,South Station,North Station,7.0,1.72
Uber,UberX,Fenway,Financial District,13.0,4.48
Uber,UberXL,West End,North End,13.0,1.16
Lyft,Lyft,South Station,North Station,9.0,2.05
Uber,Black,Boston University,Beacon Hill,20.5,2.33
Uber,UberXL,Beacon Hill,Boston University,18.0,3.23
Uber,UberXL,Haymarket Square,Beacon Hill,12.0,1.35
Lyft,Shared,Northeastern University,Back Bay,5.0,1.07
Lyft,Lyft XL,Northeastern University,North Station,16.5,3.31
Uber,WAV,Back Bay,Haymarket Square,11.0,3.8
Lyft,Lux,North End,Back Bay,22.5,2.99
Lyft,Lux Black,Financial District,South Station,16.5,0.62
Lyft,Lux,Financial District,North End,13.5,1.1
Uber,Black,North Station,North End,16.0,1.03
Lyft,Lux,Beacon Hill,North End,19.5,1.93
Lyft,Lux Black XL,Fenway,West End,32.5,2.93
Lyft,Lyft,Theatre District,South Station,10.5,1.11
Lyft,Lux Black,South Station,North Station,32.5,2.12
Uber,UberPool,North End,West End,10.0,1.06
Uber,Black SUV,North Station,South Station,28.0,1.84
Lyft,Lux Black,Haymarket Square,Back Bay,30.0,2.23
Uber,Black SUV,Haymarket Square,Theatre District,27.5,1.61
Lyft,Shared,Fenway,West End,7.0,2.95
Lyft,Lyft XL,Theatre District,North End,13.5,1.53
Lyft,Lux Black,Beacon Hill,Northeastern University,22.5,2.41
Uber,Black,Financial District,Northeastern University,31.5,4.55
Uber,Black SUV,Fenway,Financial District,40.5,4.48
Uber,Black,North Station,Haymarket Square,15.5,0.49
Uber,Black SUV,Haymarket Square,West End,27.5,0.72
Uber,Black SUV,North Station,Haymarket Square,26.0,0.49
Uber,Black,Theatre District,Fenway,18.5,2.66
Uber,UberXL,Beacon Hill,Fenway,15.0,2.46
Lyft,Lux Black,North Station,Fenway,27.5,3.21
Lyft,Lux,Northeastern University,North Station,19.5,3.32
Uber,UberX,Financial District,Haymarket Square,8.0,0.99
Lyft,Lyft XL,Haymarket Square,West End,9.0,0.78
Uber,UberX,Northeastern University,North Station,10.5,3.37
Lyft,Lyft,North Station,Haymarket Square,7.0,0.57
Uber,UberPool,Financial District,Haymarket Square,7.5,1.0
Uber,UberXL,Theatre District,South Station,15.5,1.69
Lyft,Lux Black XL,South Station,West End,27.5,2.09
Uber,Black SUV,Theatre District,Fenway,28.5,2.66
Lyft,Lux Black XL,Beacon Hill,Northeastern University,52.5,2.51
Lyft,Lux Black,West End,Fenway,22.5,2.77
Lyft,Lyft,Fenway,Financial District,13.5,3.77
Lyft,Lux Black,South Station,Back Bay,27.5,1.35
Lyft,Lyft,North End,North Station,7.0,1.08
Uber,UberX,Fenway,West End,9.5,2.84
Uber,Black,Northeastern University,West End,25.0,3.2
Uber,UberXL,Haymarket Square,Beacon Hill,13.5,1.35
Lyft,Lyft XL,Theatre District,Fenway,16.5,2.68
Uber,WAV,West End,Haymarket Square,7.5,0.61
Uber,UberPool,North Station,Boston University,8.0,3.39
Uber,Black,Theatre District,Northeastern University,17.5,1.94
Lyft,Shared,Fenway,West End,3.0,2.98
Lyft,Lux Black XL,North Station,South Station,30.0,1.75
Uber,UberPool,Boston University,North Station,10.0,3.01
Uber,WAV,North Station,South Station,10.5,2.38
Lyft,Lux Black XL,Financial District,Boston University,52.5,4.64
Uber,UberPool,Fenway,Financial District,10.0,3.46
Uber,Black,North Station,North End,15.0,0.92
Uber,UberPool,Theatre District,Fenway,10.0,2.66
Uber,WAV,Fenway,North Station,10.5,3.05
Uber,UberPool,Financial District,Fenway,8.5,3.71
Uber,UberPool,Financial District,North End,7.0,1.04
Uber,UberX,West End,Haymarket Square,7.5,0.62
Lyft,Lyft,North Station,Fenway,11.0,3.44
Lyft,Lux,Beacon Hill,Boston University,16.5,2.66
Lyft,Lyft XL,Fenway,Theatre District,16.5,3.21
Lyft,Lyft XL,Financial District,Northeastern University,16.5,2.89
Uber,Black,Boston University,Beacon Hill,23.0,2.25
Lyft,Lux,West End,South Station,16.5,1.71
Lyft,Lux,West End,North End,13.5,1.27
Lyft,Lyft,North Station,Boston University,10.5,3.49
Lyft,Lux Black,Fenway,West End,26.0,2.99
Lyft,Lyft XL,Theatre District,Fenway,16.5,2.52
Uber,Black SUV,Theatre District,South Station,27.0,1.3
Uber,UberX,Boston University,West End,10.5,2.8
Uber,UberX,Financial District,Haymarket Square,7.0,0.99
Lyft,Lyft XL,South Station,Theatre District,9.0,0.55
Lyft,Lux,Boston University,Financial District,34.0,5.37
Uber,WAV,Beacon Hill,Haymarket Square,8.5,1.36
Lyft,Lux Black,Fenway,North Station,26.0,3.2
Uber,Black,Northeastern University,Back Bay,14.5,1.22
Lyft,Lux Black XL,North Station,North End,27.5,0.94
Uber,UberPool,Northeastern University,Financial District,10.0,4.73
Lyft,Lux Black,South Station,Back Bay,34.0,1.32
Lyft,Lux,North Station,Northeastern University,19.5,3.23
Lyft,Lyft,Back Bay,Fenway,13.5,1.52
Uber,Black,Haymarket Square,Financial District,16.0,1.25
Uber,Black SUV,North End,West End,27.5,1.0
Uber,UberPool,Northeastern University,Back Bay,8.0,1.22
Lyft,Lux Black XL,North Station,Northeastern University,34.0,3.19
Uber,UberPool,Fenway,Theatre District,10.0,2.66
Lyft,Lux Black XL,Fenway,West End,32.5,2.98
Uber,Black,Theatre District,South Station,16.0,1.3
Uber,UberPool,Back Bay,Haymarket Square,11.0,2.6
Lyft,Lyft,West End,Fenway,9.0,2.84
Lyft,Lux Black XL,North Station,North End,27.5,1.24
Lyft,Lux Black,West End,North End,16.5,1.23
Uber,Black,Theatre District,Boston University,26.0,2.98
Uber,UberPool,Theatre District,North End,8.0,1.41
Lyft,Shared,Back Bay,Fenway,3.0,1.47
Lyft,Lux,Haymarket Square,Theatre District,16.5,1.72
Uber,UberXL,North End,Financial District,10.5,1.21
Uber,WAV,Back Bay,North End,17.0,3.61
Uber,UberPool,West End,Fenway,8.5,2.72
Uber,UberXL,North Station,Fenway,18.0,3.11
Lyft,Lux Black,Northeastern University,North Station,30.0,3.27
Uber,Black SUV,South Station,Financial District,27.5,0.39
Lyft,Lux Black XL,Beacon Hill,Fenway,30.0,2.39
Uber,UberPool,North End,Back Bay,16.5,3.99
Lyft,Lyft,North Station,Northeastern University,10.5,3.25
Uber,UberX,Financial District,Haymarket Square,7.5,0.8
Uber,WAV,Fenway,Beacon Hill,9.5,2.37
Uber,WAV,Haymarket Square,Beacon Hill,8.5,2.36
Uber,Black SUV,Boston University,West End,29.5,2.8
Lyft,Lux,South Station,Back Bay,16.5,1.34
Lyft,Lux,Northeastern University,Beacon Hill,16.5,2.46
Uber,WAV,Northeastern University,West End,10.5,3.08
Uber,UberX,Boston University,Beacon Hill,10.5,2.33
Lyft,Lux,Haymarket Square,Theatre District,13.5,1.74
Lyft,Lux Black,Haymarket Square,Back Bay,22.5,2.32
Lyft,Shared,Boston University,Financial District,9.0,4.54
Uber,Black,Northeastern University,Beacon Hill,20.5,2.56
Lyft,Shared,Boston University,Back Bay,7.0,1.69
Lyft,Lyft,West End,Boston University,11.0,3.08
Uber,UberX,North End,Theatre District,8.5,1.57
Lyft,Lux Black,Financial District,Northeastern University,55.0,3.08
Uber,Black,Boston University,West End,25.0,2.8
Uber,WAV,West End,Boston University,9.5,3.05
Lyft,Lyft XL,Fenway,Beacon Hill,13.5,2.35
Lyft,Lyft XL,North Station,Boston University,19.5,3.46
Uber,UberXL,West End,Fenway,17.5,2.72
Uber,UberXL,Beacon Hill,Boston University,17.5,2.79
Lyft,Lyft,Back Bay,Fenway,9.0,1.53
Lyft,Lyft XL,Theatre District,South Station,13.5,1.15
Uber,UberXL,South Station,North Station,14.0,1.61
Uber,UberXL,Theatre District,North End,12.0,1.41
Lyft,Lux Black,South Station,North Station,19.5,1.74
Lyft,Lyft,West End,Haymarket Square,7.0,0.68
Uber,UberX,Northeastern University,Back Bay,7.0,1.22
Lyft,Lyft,North End,Back Bay,27.5,2.52
Lyft,Lux Black,Haymarket Square,Theatre District,22.5,1.71
Uber,UberXL,South Station,Theatre District,9.5,0.55
Lyft,Lux,West End,Boston University,19.5,3.13
Lyft,Lyft,Theatre District,Boston University,11.0,2.98
Uber,WAV,North Station,North End,7.5,0.92
Uber,UberXL,North End,Beacon Hill,14.0,2.19
Lyft,Lyft,Northeastern University,North Station,13.5,3.31
Lyft,Lyft XL,Northeastern University,West End,22.5,3.06
Lyft,Shared,Haymarket Square,Back Bay,7.0,2.32
Lyft,Shared,North End,North Station,5.0,1.05
Uber,Black,Financial District,South Station,15.5,0.63
Uber,UberXL,Theatre District,Boston University,17.0,2.98
Uber,UberX,North Station,North End,8.5,1.14
Uber,UberPool,North Station,North End,6.5,0.92
